,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
474,Promenade Père-Marquette,https://montreal.ca/lieux/promenade-pere-marquette,"La promenade Père-Marquette borde le vieux-canal de Lachine et le lac Saint-Louis, offrant ainsi à ses visiteurs un cadre unique, rempli d’histoire et de belle nature. Ce site riche en attraits a joué un rôle important à l’époque de la Nouvelle-France. On peut y visiter le Lieu historique national du Commerce-de-la-Fourrure-à-Lachine, un édifice de pierre datant de 1803 qui permet de plonger dans l’époque du commerce des fourrures. La promenade Père-Marquette est incluse dans le Lieu historique national du Canal-de-Lachine. Ce parc de 1,4 km est traversé par un sentier pédestre ainsi que par une piste cyclable, accessibles en toute saison. Des installations de gym permettent de s’entraîner à l’extérieur. De nombreuses tables de pique-nique sont installées pour les repas en plein air. Un belvédère offre de magnifiques points de vue sur le lac Saint-Louis ainsi que sur la petite baie dans laquelle s’adonnent des adeptes de sports de pagaie. Cette pointe est agrémentée de l’œuvre d’art public Monica de Jules Lasalle, qui évoque les statues de l’île de Pâques. En hiver, les adeptes de ski de fond peuvent profiter du sentier du Grand Sud-Ouest de ce secteur.",2019-10-16,2023-10-20,Lachine,Parc et jardins,Parc,"Photographie,Vélo,Ski de fond,Observation d'oiseaux","Aire de pique-nique,Circuit d'entraînement,Fontaine d'eau potable,Stationnement ($),Support à vélo,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Promenade Père-Marquette,"1450, boulevard Saint-Joseph",,H8S2M2,Montréal,-73.678001761436,45.43163655591,290872.3,5032426.9
475,Promenade du Rail,https://montreal.ca/lieux/promenade-du-rail,"La promenade du Rail est un est un lieu privilégié pour se détendre, pour profiter des attraits de la nature ou pratiquer des activités extérieures.",2019-10-16,2021-02-18,Lachine,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Promenade du Rail,Angle de la 21e Avenue et de la rue Victoria,,H8S 2G9,Montréal,-73.683060814053,45.435515494709,290477.4,5032858.8
476,Parc Village Saint-Louis,https://montreal.ca/lieux/parc-village-saint-louis,Les chiens sont interdits dans ce parc.,2019-10-16,2024-02-01,Lachine,Parc et jardins,Parc,,Module de jeu pour enfants,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Village Saint-Louis,"3205, rue Dalbé-Viau",,H8T 3N4,Montréal,-73.69634270668,45.444144712326,289440.6,5033820.2
477,Parc Kirkland,https://montreal.ca/lieux/parc-kirkland,"L’été et l’hiver, les jeunes s’amusent avec des jeux organisés par des animateurs de l’ArrondissementL’été, du personnel de l’Arrondissement seront sur les lieux pour animer des activités sportives :les samedis, de 12 h à 17 h, du 6 mai au 19 août 2023les jeudis et vendredis, de 13 h à 22 h, du 26 juin au 25 août 2023De l’équipement sportif est prêté gratuitement durant les heures d’ouverture du chalet, d’avril à la mi-octobre et durant la saison de patinage extérieur.On peut pratiquer le pickleball dans l’enceinte de la patinoire de même qu’aux terrains de tennis. Avant de vous déplacer, consultez les conditions de glace pour les patinoires et les consignes de sécurité pour les piscines et les pataugeoires.",2019-10-16,2023-05-02,Lachine,Parc et jardins,Parc,"Pétanque ou bocce,Basketball","Aire de pique-nique,Fontaine d'eau potable,Mur autorisé pour graffitis,Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé,Support à vélo,Terrain de basketball,Terrain de jeu de boules,Terrain de pickleball,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Kirkland,"123, rue Léo-Pétrin",,H8R1B4,Montréal,-73.650128245353,45.445894804976,293056.2,5034006.9
478,Parc Grovehill,https://montreal.ca/lieux/parc-grovehill,"On peut notamment y trouver des terrains de basketball et de volleyball.  L’hiver, on y glisse sur la butte enneigée.",2019-10-16,2023-05-02,Lachine,Parc et jardins,Parc,"Basketball,Volleyball","Fontaine d'eau potable,Stationnement gratuit,Terrain de basketball,Terrain de volleyball",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Grovehill,"640, 36e Avenue",,H8T3G6,Montréal,-73.694915771484,45.440998172647,289551.4,5033470.3
479,Parc du Fort-Rolland,https://montreal.ca/lieux/parc-du-fort-rolland,"Le parc du Fort-Rolland est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.Situé à l’ouest de la 34e Avenue, il offre de magnifiques points de vue sur le lac Saint-Louis. Des aires de pique-nique y sont aménagées. En hiver, les adeptes de ski de fond peuvent profiter du sentier de ski de fond  Grand Sud-Ouest.",2019-10-16,2023-03-09,Lachine,Parc et jardins,Parc,"Vélo,Ski de fond,Observation d'oiseaux,Volleyball","Aire de pique-nique,Support à vélo",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc du Fort-Rolland,Boulevard Saint-Joseph,,H8T2A4,Montréal,-73.699266314507,45.43489654723,289209.4,5032793.0
480,Parc Elm,https://montreal.ca/lieux/parc-elm,Le parc Elm est également un endroit parfait pour profiter des attraits de la nature.,2019-10-16,2024-02-01,Lachine,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Elm,rue Richmond,,H8R 1G1,Montréal,-73.640338182449,45.4470276317,293822.3,5034131.4
481,Parc de la Place Samuel-D. Gameroff,https://montreal.ca/lieux/parc-de-la-place-samuel-d-gameroff,Le parc de la Place Samuel-D. Gameroff est également un endroit parfait pour profiter des attraits de la nature.,2019-10-16,2024-02-01,Lachine,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc de la Place Samuel-D. Gameroff,"3696, rue Saint-Antoine",,H8T 2B1,Montréal,-73.697565793991,45.439394724883,289343.6,5033292.6
482,Parc Carignan,https://montreal.ca/lieux/parc-carignan,"Vous y trouverez une multitude de terrains sportifs pour vous amuser et des endroits pour vous détendre.Avant de vous déplacer, consultez les conditions de glace pour les patinoires et les consignes de sécurité pour les piscines et les pataugeoires.",2019-10-17,2023-10-02,Lachine,Parc et jardins,Parc,,"Mur autorisé pour graffitis,Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Carignan,"4100, rue Provost",,H8T3J6,Montréal,-73.701996803284,45.4434070226,288998.1,5033739.3
483,Parc Brewster,https://montreal.ca/lieux/parc-brewster,Le parc Brewster est situé à quelques dizaines de mètres du lac Saint-Louis.,2019-10-17,2022-06-23,Lachine,Parc et jardins,Parc,,"Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Brewster,"325, 44e Avenue",,,Montréal,-73.704645752004,45.437198128982,288789.1,5033049.9
484,Parc Eugène-Dostie,https://montreal.ca/lieux/parc-eugene-dostie,"Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air. Terrains #7 et #8 : accès libre les samedis et dimanches, de 12 h à 19 h. Les terrains 1 à 6 du parc Eugène-Dostie sont gérés par le Club de tennis. Il faut être membre pour utiliser ces terrains. En savoir plus.",2019-10-17,2022-05-30,L'Île-Bizard–Sainte-Geneviève,Parc et jardins,Parc,"Pickleball,Tennis,Soccer,Patinage,Hockey,Glissade,Baseball,Baignade,Volleyball","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants,Stationnement gratuit,Terrain de pickleball,Terrain de volleyball,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Eugène-Dostie,Montée de l'Église,,H9C1G9,Montréal,-73.883760565954,45.487472830648,274802.4,5038688.1
485,Parc Antoine-Pilet,https://montreal.ca/lieux/parc-antoine-pilet,"Le parc Antoine-Pilet est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-10-17,2024-02-01,L'Île-Bizard–Sainte-Geneviève,Parc et jardins,Parc,,Fontaine d'eau potable,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:22:00,Mardi, ouverture:06:00, fermeture:22:00,Mercredi, ouverture:06:00, fermeture:22:00,Jeudi, ouverture:06:00, fermeture:22:00,Vendredi, ouverture:06:00, fermeture:22:00,Samedi, ouverture:06:00, fermeture:22:00,Dimanche, ouverture:06:00, fermeture:22:00]",,,,,,Parc Antoine-Pilet,"350, place Ouimet",,,Montréal,-73.879781361897,45.489823838891,275114.6,5038947.9
486,Parc Tiohtià:ke Otsira'kéhne,https://montreal.ca/lieux/parc-tiohtiake-otsirakehne,"Le parc Tiohtià:ke Otsira’kéhne offre une quiétude inégalée et des vues imprenables sur le nord de l’île de Montréal. Les vélos et le vélo de montagne y sont interdits.Travaux en cours - abattage d’arbresPériode : janvier à début mars 2024 Horaire du chantier : Du lundi au jeudi, entre 7 h et 17 h (sauf exception)",2019-10-17,2024-01-23,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,"Photographie,Randonnée",,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Tiohtià:ke Otsira'kéhne,chemin de Polytechnique,,H2V2T2,Montréal,-73.610200881958,45.506933387271,296188.8,5040785.1
487,Parc Snowdon,https://montreal.ca/lieux/parc-snowdon,"Le parc Snowdon est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-10-17,2024-02-01,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Snowdon,rue Snowdon,,H3X 1Y6,Montréal,-73.628714707384,45.480764816633,294737.5,5037879.1
488,Parc Nelson-Mandela,https://montreal.ca/lieux/parc-nelson-mandela,"Les jeux d’eau sont ouverts de 8 h à 21 h, de fin mai à septembre, selon la température.",2019-10-17,2024-02-01,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,"Aire de pique-nique,Composteurs communautaires,Fontaine d'eau potable,Table à langer,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Nelson-Mandela,"4920, rue Vézina",,H3W 1C1,Montréal,-73.643825054169,45.494491803106,293558.9,5039406.6
489,Parc Maurice-Cullen,https://montreal.ca/lieux/parc-maurice-cullen,"Le parc Maurice-Cullen est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-10-17,2024-02-01,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Table à langer,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Maurice-Cullen,"4770, chemin Circle",,H3W 1Z2,Montréal,-73.620060682297,45.483476695725,295414.5,5038179.4
490,Parc Marie-Gérin-Lajoie,https://montreal.ca/lieux/parc-marie-gerin-lajoie,Le parc Marie-Gérin-Lajoie est un lieu privilégié pour se détendre et profiter des attraits de la nature.,2019-10-17,2024-02-01,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Marie-Gérin-Lajoie,"5720, avenue Wilderton",,H3S2K7,Montréal,-73.62081775193097,45.50993016103635,295359.7,5041119.3
491,Parc Mahatma-Gandhi,https://montreal.ca/lieux/parc-mahatma-gandhi,Venez y faire un pique-nique et profiter des attraits de la nature.,2019-10-17,2024-02-01,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,"Aire de pique-nique,Composteurs communautaires",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Mahatma-Gandhi,Chemin Hudson,,H3S 1M9,Montréal,-73.62823097042,45.506535585228,294779.9,5040743.0
492,Parc Mackenzie-King,https://montreal.ca/lieux/parc-mackenzie-king,"Les jeux d’eau sont ouverts de 8 h à 21 h, du 27 mai à septembre, selon la température.",2019-10-17,2023-07-20,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,"Ping-pong,Basketball,Volleyball","Aire de pique-nique,Composteurs communautaires,Fontaine d'eau potable,Module de jeu pour enfants,Table de ping pong,Terrain de basketball,Terrain de volleyball,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Mackenzie-King,"4907, avenue Saint-Kevin",,H3W1P4,Montréal,-73.633739948273,45.489907764395,294346.3,5038895.8
493,Parc Loyola,https://montreal.ca/lieux/parc-loyola,"Le terrain de baseball #2 est fermé pour une période indéterminée. Les jeux d’eau sont ouverts de 8 h à 21 h, du 27 mai à septembre, selon la température.Ski de fondConsultez la carte des pistes.",2019-10-17,2023-05-08,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Loyola,"4877, avenue Doherty",,H4V2B2,Montréal,-73.645906448364,45.46089820959,293389.5,5035673.6
494,Parc Jean-Brillant - Côte-des-Neiges–Notre-Dame-de-Grâce,https://montreal.ca/lieux/parc-jean-brillant-cote-des-neiges-notre-dame-de-grace,"Malheureusement, cet été, la pataugeoire du parc Jean-Brillant sera fermée. Le système en place ne permet pas de respecter des conditions d’hygiène approuvées par la Direction régionale de santé publique.",2019-10-17,2021-06-08,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,"Patinage,Pétanque ou bocce","Aire de pique-nique,Composteurs communautaires,Fontaine d'eau potable,Module de jeu pour enfants,Terrain de jeu de boules,Toilettes,Wi-Fi gratuit",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Jean-Brillant - Côte-des-Neiges–Notre-Dame-de-Grâce,"5252, avenue Decelles",,H3T 1N8,Montréal,-73.619846105576,45.497263104102,295433.5,5039711.5
495,Parc Herbert-Outerbridge,https://montreal.ca/lieux/parc-herbert-outerbridge,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-10-17,2021-12-21,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,"Aire de pique-nique,Composteurs communautaires,Fontaine d'eau potable",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Herbert-Outerbridge,avenue Benny,,H4B 2S3,Montréal,-73.627479672432,45.465462035144,294831.3,5036178.4
496,Parc Georges-Saint-Pierre,https://montreal.ca/lieux/parc-georges-saint-pierre,Profitez des attraits de la nature !,2019-10-17,2023-07-20,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,"Ping-pong,Pétanque ou bocce,Basketball","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants,Table à langer,Table de ping pong,Terrain de basketball,Terrain de jeu de boules,Toilettes",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Georges-Saint-Pierre,"999, avenue Oxford",,H4A2X4,Montréal,-73.607840538025,45.46852820672,296367.5,5036516.9
497,Parc de Dunkerque,https://montreal.ca/lieux/parc-de-dunkerque,Le parc de Dunkerque a tout pour satisfaire petits et grands :Un grand espace vert pour la pratique d’activité physique;Une aire de pique-nique;2 terrains de jeux pour les enfants.,2019-10-17,2024-02-01,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de Dunkerque,"2900, avenue Kirkfield",,,Montréal,-73.634139499977,45.51236991624,294319.3,5041392.1
498,Parc Benny,https://montreal.ca/lieux/parc-benny,SkateparkLe parc Benny comprend un parc de planche à roulette spécialement conçu pour la pratique de la planche à roulettes et du patin à roues alignées.Le port du casque est obligatoire. La présence d’un animateur est assurée durant les heures d’ouverture du parc. Les utilisateurs doivent d’ailleurs s’adresser à l’animateur afin d’obtenir leur carte de membre gratuite.Ski de fondConsultez la carte des pistes au parc Benny.,2019-10-17,2022-12-07,Côte-des-Neiges–Notre-Dame-de-Grâce,Parc et jardins,Parc,Ski de fond,"Aire de pique-nique,Fontaine d'eau potable",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,numéro: 5148720311,,Parc Benny,Avenue Benny,,H4B1H2,Montréal,-73.632773514837,45.46663632332,294417.6,5036309.5
499,Parc Goncourt,https://montreal.ca/lieux/parc-goncourt,"Ses installations comprennent deux aires de jeux pour les moins et plus de 5 ans, des terrains de pétanque, de soccer synthétique et de tennis, des aires de repas, un jardin floral ainsi qu’une butte de glissade durant l’hiver.À l’été, la place des Angevins s’anime chaque semaine avec des sessions de danse en ligne, des spectacles à grand déploiement et des fêtes de quartier. On y tient également une grande fête à l’automne : la Journée portes ouvertes.L’hiver est pour sa part propice aux activités en famille, notamment la luge.À proximité du parc se trouvent la mairie d’arrondissement d’Anjou, incluant le Bureau Accès Montréal Anjou, de même que la bibliothèque Jean-Corbeil et sa salle d’exposition.",2019-10-18,2022-10-28,Anjou,Parc et jardins,Parc,,"Aire de pique-nique,Borne de recharge voiture,Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Stationnement gratuit,Support à vélo,Terrain de jeu de boules,Toilettes,Wi-Fi gratuit","Adapté aux poussettes,Entrée de plain-pied,Places de stationnement réservées (vignette),Sentier d'accès,Stationnement accessible",Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Parc Goncourt,"7130, avenue Goncourt",,H1K3Y2,Montréal,-73.557583514907,45.602076198648,300308.0,5051354.1
500,Parc du Mail,https://montreal.ca/lieux/parc-du-mail,"Le parc du Mail est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-10-18,2024-02-01,Anjou,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Parc du Mail,avenue du Mail,,H1K 1Z1,Montréal,-73.544433116913,45.598928425518,301333.6,5051003.7
