,ID,ORIGINE,T_COMMERCE,DATE_CREATION,CIVIQUE,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENTATION,ADRESSE,SUITE,CODE_POST,ETAGE,NOM_CENTRE,NOM_ETAB_2023,ID_USAGE1,USAGE1,ID_USAGE2,USAGE2,ID_USAGE3,USAGE3,SCIAN,SITEWEB,ACCES_MOBILITE_REDUITE,VACANT_A_LOUER,A_LOUER_CONTACT,A_LOUER_TELEPHONE,ARRONDISSEMENT,QUARTIER,SDC_NOM,SECTEUR_PME,ENFANT,MULTIUSAGE,MULTIOCCUPANT,COORDY,COORDX,LAT,LONG
949,{7f5d4029-9662-4d32-bb89-b5539955b352},HORS_SDC,Commerce rue,2023/08/14,4349,rue,,Bélanger,,4349 rue Bélanger ,,H1T1A8,RC,,Uniprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Rosemont–La Petite-Patrie,Marie-Victorin,,Centre-Est,Non,Non,Non,5047485.14,298109.67,45.56725323936363,-73.58571212404563
982,{89225285-a62d-460d-aa66-88d873de2bf4},HORS_SDC,Commerce rue,2023/08/14,4240,rue,,Beaubien,E,4240 rue Beaubien E,,H1T1S4,RC,,Uniprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,www.uniprix.com,Accès au niveau du sol,Non,,,Rosemont–La Petite-Patrie,Marie-Victorin,,Centre-Est,Non,Non,Non,5047076.86,298669.95,45.56358456357108,-73.57852919333448
986,{cc733df8-ee70-4089-835a-e254810f8a49},HORS_SDC,Commerce rue,2023/08/14,4466,rue,,Beaubien,E,4466 rue Beaubien E,,H1T3Y8,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Rosemont–La Petite-Patrie,Marie-Victorin,,Centre-Est,Non,Non,Non,5047358.46,298861.62,45.5661201537427,-73.57607726681819
1138,{949d648c-acec-4166-9f80-82dea5a9d39b},HORS_SDC,Commerce rue,2023/06/07,4290,rue,,Ontario,E,4290 rue Ontario E,,H1V1K3,RC,,Pharmaprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,www.stores.pharmaprix.ca,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Maisonneuve,,Centre-Est,Non,Non,Non,5045815.35,301709.19,45.552253194420885,-73.53958767729416
1277,{d408fb11-123b-4f8e-9db4-2ab4d02ca208},HORS_SDC,Commerce rue,2023/06/19,9065,boulevard,,Saint-Michel,,9065 boulevard Saint-Michel ,,H1Z3G6,RC,,Proxim,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,groupeproxim.ca,Accès au niveau du sol,Non,,,Villeray-Saint-Michel–Parc-Extension,Sainte-Lucie,,Centre-Est,Non,Non,Non,5048022.42,294848.52,45.57204886060497,-73.62750198456756
1287,{827b9696-fcac-46ba-a5c7-06fc1ee10593},HORS_SDC,Commerce rue,2023/06/19,9021,boulevard,,Saint-Michel,,9021 boulevard Saint-Michel ,,H1Z3G3,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Villeray-Saint-Michel–Parc-Extension,Sainte-Lucie,,Centre-Est,Non,Non,Non,5048000.68,294907.32,45.571854075915454,-73.62674818796673
1405,{37354256-e14e-4ca9-8bd0-932a9f257669},HORS_SDC,Commerce rue,2023/06/07,3325,rue,,Jarry,E,3325 rue Jarry E,,H1Z2E5,RC,,Pharmaprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Villeray-Saint-Michel–Parc-Extension,Sainte-Lucie,,Centre-Est,Non,Non,Non,5047216.5,296226.96,45.56481528799196,-73.60982701193774
1604,{2e4e3692-88a9-434b-9a71-82c2ad02b6cb},HORS_SDC,Commerce rue,2023/07/13,69,boulevard,,Henri-Bourassa,E,69 boulevard Henri-Bourassa E,,H2C1E3,RC,,Uniprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Rampe d'accès,Non,,,Ahuntsic-Cartierville,Sault-au-Récollet,,Centre-Ouest,Non,Oui,Oui,5046307.74,291692.76,45.556567378868486,-73.66788815076092
1668,{f1bb306e-0935-41f8-b421-7c414e9988be},HORS_SDC,Commerce rue,2023/06/07,8967,rue,,Lajeunesse,,8967 rue Lajeunesse ,,H2M1S1,RC avec escaliers (4 marches et plus),,PHARMACIE,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Non,Non,,,Ahuntsic-Cartierville,Saint-Sulpice,,Centre-Ouest,Non,Non,Non,5045371.62,293611.98,45.54817735020894,-73.6432841155962
1734,{6030eb5e-50a8-4a1b-b235-8993b3a6bb9a},HORS_SDC,Commerce rue,2023/06/07,9465,rue,,Lajeunesse,,9465 rue Lajeunesse ,,H2M1S5,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Rampe d'accès,Non,,,Ahuntsic-Cartierville,Saint-Sulpice,,Centre-Ouest,Non,Oui,Non,5045613.48,293028.42,45.55034406707054,-73.6507634410487
1752,{f073f442-f183-4476-a895-7945432be8c8},HORS_SDC,Commerce rue,2023/06/14,1420,rue,,Legendre,E,1420 rue Legendre E,7,H2M1H5,RC,,Proxim,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.groupeproxim.ca/fr/quebec/montreal/nadia-ahrid-et-rana-moustapha-7012374?utm_source=Google&utm_medium=maps&utm_campaign=Local_Presence,Accès au niveau du sol,Non,,,Ahuntsic-Cartierville,Saint-Sulpice,,Centre-Ouest,Non,Non,Non,5046541.84,294055.32,45.55871435196137,-73.63763206962555
1872,{9abb69f5-b3ce-43e7-b382-9e99af0680f6},HORS_SDC,Commerce rue,2023/06/07,7281,boulevard,,Shaughnessy,,7281 boulevard Shaughnessy ,,H2A1J6,RC avec escaliers (4 marches et plus),,Proximed,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.groupeproxim.ca/fr/quebec/montreal/tuyet-lan-huynh-7045090,Accès au niveau du sol,Non,,,Villeray-Saint-Michel–Parc-Extension,François-Perrault,,Centre-Est,Non,Non,Non,5046634.24,297045.19,45.55958552020524,-73.5993357990526
2015,{52629082-815a-4916-8fe3-2b9582794991},HORS_SDC,Commerce rue,2023/08/14,3871,rue,,Bélanger,,3871 rue Bélanger ,,H1X3M7,Demi sous-sol,,Familiprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.familiprix.com/fr/pharmacies/pharmacie-gabriel-hannouche-inc-ad555a8e-5a8e-4805-9507-96bfad27401f?section=lab,Rampe d'accès,Non,,,Villeray-Saint-Michel–Parc-Extension,François-Perrault,,Centre-Est,Non,Oui,Oui,5047016.01,297828.59,45.5630290976242,-73.58930638223099
2062,{bdb7437b-5437-4883-8545-6c831286c7cd},HORS_SDC,Commerce rue,2023/06/13,4973,rue,,Jean-Talon,O,4973 rue Jean-Talon O,,H4P1W7,RC,,Pharmacie Jessie Hagai,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.pharmjessiehaggai.ca/,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Savane,,Centre-Ville,Non,Non,Non,5039706.91,293072.71,45.497195323229874,-73.65005484195706
2143,{706de71d-14a0-426f-a2c2-154debb2da61},HORS_SDC,Commerce rue,2023/08/14,5881,rue,,Victoria,,5881 rue Victoria ,,H3W2R6,RC,,Proximed,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,groupeproxim.ca,Rampe d'accès,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Savane,,Centre-Ville,Non,Non,Non,5039292.19,294249.48,45.49348228602966,-73.63498892479844
2171,{553f178d-2bf5-4cad-886d-34cfc94dbfa4},HORS_SDC,Commerce rue,2023/08/14,4815,avenue,,Van Horne,,4815 avenue Van Horne ,,H3W2S3,RC,,Pharmaprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Savane,,Centre-Ville,Non,Non,Non,5039398.03,293972.28,45.49443043253533,-73.63853785487257
2295,{4b62ed38-26f8-4caf-91c2-b0ab0c3eb5cb},HORS_SDC,Commerce rue,2023/06/07,8000,boulevard,,Décarie,,8000 boulevard Décarie ,2,H4P2S4,RC,,Pharmacie Steeve Benaroch,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.groupeproxim.ca/fr/quebec/montreal/steeve-benarroch-7001542?utm_source=Google&utm_medium=maps&utm_campaign=Local_Presence,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Savane,,Centre-Ville,Non,Non,Non,5039743.89,292327.79,45.497515165814136,-73.65958716999916
2430,{3860cbfb-cb58-476a-b1d6-e94c0bd1aa4e},HORS_SDC,Commerce rue,2023/08/14,6200,chemin,de la,Côte-des-Neiges,,6200 chemin de la Côte-des-Neiges ,,H3S2A1,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,jeancoutu.com,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Savane,,Centre-Ville,Non,Non,Non,5040098.82,294432.66,45.50074342477438,-73.63266229769464
2432,{c9ae6e83-ccca-4124-8dfb-c5e97546dae3},HORS_SDC,Commerce rue,2023/08/14,6180,chemin,de la,Côte-des-Neiges,,6180 chemin de la Côte-des-Neiges ,,H3S1Z7,RC,,Pharmaprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,stores.pharmaprix.ca,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Savane,,Centre-Ville,Non,Non,Non,5040066.22,294479.82,45.50045077580144,-73.63205815248749
2489,{7e9e5292-3f8b-4017-b1f2-6595de2476aa},HORS_SDC,Commerce rue,2023/05/24,5333,boulevard,,Décarie,,5333 boulevard Décarie ,,H3W3C4,RC,,PHARMACIE WEINBAUM,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Non,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Snowdon,,Centre-Ville,Non,Non,Non,5038429.93,294420.12,45.48572585991042,-73.63278746256267
2519,{044a6d18-53ef-4351-9699-d64b9896a01a},HORS_SDC,Commerce rue,2023/08/14,5345,chemin,,Queen-Mary,,5345 chemin Queen-Mary ,,H3X2L2,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,jeancoutu.com,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Snowdon,,Centre-Ville,Non,Non,Non,5038131.76,294624.45,45.48304580435502,-73.63016737101853
2579,{d72d4769-3a70-487e-81fe-e1c2365f167e},HORS_SDC,Commerce rue,2023/08/14,4999,chemin,,Queen-Mary,,4999 chemin Queen-Mary ,,H3W1X4,RC,,Pharmaprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,stores.pharmaprix.ca,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Snowdon,,Centre-Ville,Non,Non,Non,5038472.14,294832.47,45.48611169426987,-73.62751328985858
2645,{6a3b48e3-c231-40a7-85b9-ca4797f8381c},HORS_SDC,Commerce rue,2023/08/14,5480,rue,,Victoria,,5480 rue Victoria ,,H3W1P1,RC,,Familiprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.familiprix.com/fr/pharmacies/charbel-khalil-71a337e4-efda-47ab-84ec-ec388c3997b5?section=lab,Rampe d'accès,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Snowdon,,Centre-Ville,Non,Non,Non,5039046.69,294543.91,45.49127756227228,-73.63121675216333
2726,{f98192f4-97bb-4f74-b21f-dd9c1a79572b},HORS_SDC,Commerce rue,2023/08/14,5150,chemin,,Queen-Mary,,5150 chemin Queen-Mary ,,H3W1X5,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,jeancoutu.com,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Snowdon,,Centre-Ville,Non,Non,Non,5038346.85,294830.04,45.484984245368985,-73.62754183188898
2738,{497c6d26-b211-45f6-8ccf-b3d16616271f},HORS_SDC,Commerce rue,2023/05/24,5820,avenue,de,Monkland,,5820 avenue de Monkland ,,H4A1G1,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,jeancoutu.com,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-Saint-Antoine,,Centre-Ville,Non,Non,Non,5036989.48,295020.51,45.47277271582213,-73.62507822910028
2752,{4e7ac930-d5f7-47a3-a68a-b7db436bdd4c},HORS_SDC,Commerce rue,2023/05/24,5730,avenue,de,Monkland,,5730 avenue de Monkland ,,H4A1E6,RC,,Pharmaprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://stores.pharmaprix.ca/fr/store/1849/?utm_source=G&utm_medium=lpm&utm_campaign=LPM_SDM,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-Saint-Antoine,,Centre-Ville,Non,Non,Non,5037129.78,295111.92,45.474036473624736,-73.62391189169867
2838,{4bdd7418-2323-45e2-97aa-702fd1b0540b},HORS_SDC,Commerce rue,2023/06/14,5815,rue,,Sherbrooke,O,5815 rue Sherbrooke O,,H4A1X4,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.jeancoutu.com/localisateur-succursale/montreal-5815-rue-sherbrooke-ouest-h4a-1x4/60/,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-Saint-Antoine,,Centre-Ville,Non,Non,Non,5036659.31,295580.01,45.46980930483891,-73.61791620966122
2906,{84736431-bf44-4b0e-b3cc-2e8a452cb2b6},HORS_SDC,Commerce rue,2023/05/24,5107,rue,,Sherbrooke,O,5107 rue Sherbrooke O,,H4A1T2,RC,,Jean Coutu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-Saint-Antoine,,Centre-Ville,Non,Non,Non,5037397.93,296452.2,45.47646672016843,-73.60677431297916
3128,{f11f5c19-6f55-40a6-8f90-cd863d1d8ad6},HORS_SDC,Commerce rue,2023/08/14,6160,rue,,Laurendeau,,6160 rue Laurendeau ,,H4E3X7,RC,,Uniprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Non,Non,,,Le Sud-Ouest,Côte-Saint-Paul,,Grand Sud-Ouest,Non,Non,Non,5035241.56,297895.63,45.45707843692215,-73.58828179369046
3170,{37312392-654c-4e93-b581-81e0b222d6be},HORS_SDC,Commerce rue,2023/08/14,1875,rue,du,Centre,,1875 rue du Centre ,,H3K1J1,RC,,Uniprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.uniprix.com/fr/succursales/cyr-carole-montreal,Accès au niveau du sol,Non,,,Le Sud-Ouest,Pointe-Saint-Charles,,Grand Sud-Ouest,Non,Non,Non,5038107.94,299921.22,45.48288857766796,-73.56241076394726
3207,{eb5672a6-1206-44e0-9d72-a86d6d013af1},HORS_SDC,Commerce rue,2023/08/14,2374,rue,du,Centre,,2374 rue du Centre ,,H3K1J7,RC,,Brunet,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.brunet.ca/localisateur-succursale/montreal-151-avenue-atwater-h3j-2j4/5506/,Accès au niveau du sol,Non,,,Le Sud-Ouest,Pointe-Saint-Charles,,Grand Sud-Ouest,Non,Non,Non,5037766.67,299577.63,45.47981518717685,-73.56680233251855
3261,{2aa7e5bf-e163-4d55-83ac-911870951ee3},HORS_SDC,Commerce rue,2023/08/14,2041,rue,,Wellington,,2041 rue Wellington ,,H3K1W7,RC,,Familiprix,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,https://www.familiprix.com/fr/pharmacies/christian-bastien-b14238a7-a95f-4c50-b1ac-0b7df8da3bc2,Accès au niveau du sol,Non,,,Le Sud-Ouest,Pointe-Saint-Charles,,Grand Sud-Ouest,Non,Non,Non,5037634.39,300174.39,45.47862907944508,-73.55916775640331
3285,{11ffe67f-151d-425e-bb5b-e8c7fb53596f},HORS_SDC,Commerce rue,2023/06/14,3545,chemin,de la,Côte-des-Neiges,,3545 chemin de la Côte-des-Neiges ,,H3H1V1,RC,,Pharmacie Minh A. Chu,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Non,Non,,,Ville-Marie,Montagne,,Centre-Ville,Non,Non,Non,5039639.51,298190.2,45.49665607809402,-73.5845745621548
3366,{d9313da4-5668-475f-8a1d-a3b652053479},HORS_SDC,Commerce rue,2023/04/24,800,rue,,Ontario,E,800 rue Ontario E,,H2L1N9,RC,,Proxim,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Accès au niveau du sol,Non,,,Ville-Marie,René-Lévesque,,Centre-Ville,Non,Non,Non,5042005.01,299796.68,45.51795520908185,-73.56404362370583
3613,{b6bbc811-460b-4ffd-92bf-ff9bfc268d11},HORS_SDC,Commerce rue,2023/06/13,305,boulevard,,René-Lévesque,E,305 boulevard René-Lévesque E,,H2X0A6,RC,,Proximed,A,Biens courants,41,Pharmacie,103,Pharmacie,446110.0,,Non,Non,,,Ville-Marie,René-Lévesque,,Centre-Ville,Non,Non,Non,5041323.35,300156.48,45.51182384339194,-73.55943175212772
