,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
10,Maison de la culture du Plateau-Mont-Royal,https://montreal.ca/lieux/maison-de-la-culture-du-plateau-mont-royal,"Même si un spectacle affiche complet, passez nous voir, il y a souvent de la place! Les laissez-passer sont gratuits, mais il faut en faire bon usage! Si vous ne pouvez vous présenter, merci de nous informer. Vous permettrez ainsi à quelqu’un d’autre de profiter de la représentation et ne laisserez pas de siège vide à la vue des artistes.Consultez la programmation actuelle de la maison de la cultureAccessibilitéLa maison de la culture du Plateau-Mont-Royal possède deux espaces de stationnement réservés aux personnes handicapées situés devant l’immeuble. Une rampe d’accès fixe, une pente douce et un ouvre-porte automatisé donnent accès à l’édifice.Les toilettes situées au rez-de-chaussée sont accessibles avec aide.La salle d’exposition et le lieu de diffusions - également situés au rez-de-chaussée - sont aménagés pour les personnes handicapées avec des aires de manœuvre d’au moins 1,5m de diamètre. De plus, 6 places pour personnes handicapées sont réservées à l’avant de la salle de spectacles. Veuillez communiquer  avec la réception afin que l’on puisse vous assurer une place au 514 872-2266.",2019-08-22,2024-01-12,Le Plateau-Mont-Royal,Culturels et communautaires,Centre culturel,,"Air climatisé,Produits menstruels gratuits,Toilettes,Wi-Fi gratuit","Équipement adapté,Places de stationnement réservées (vignette),Porte à ouverture automatique,Rampe d'accès,Toilettes accessibles",Culture et sports,Ouvert," Horaire [Mardi, ouverture:13:00, fermeture:19:00,Mercredi, ouverture:13:00, fermeture:19:00,Jeudi, ouverture:13:00, fermeture:19:00,Vendredi, ouverture:13:00, fermeture:17:00,Samedi, ouverture:13:00, fermeture:17:00,Dimanche, ouverture:13:00, fermeture:17:00]",,,,numéro: 5148722266,,Maison de la culture du Plateau-Mont-Royal,"465, avenue du Mont-Royal Est",,H2J1W3,Montréal,-73.582684,45.524952,298341.1,5042784.9
11,Maison de la culture de Pointe-aux-Trembles,https://montreal.ca/lieux/maison-de-la-culture-de-pointe-aux-trembles,Surveillez la programmation culturelle!La maison de la culture de Pointe-aux-Trembles a reçu l’accréditation Scène écoresponsable!,2019-08-23,2024-01-23,Rivière-des-Prairies–Pointe-aux-Trembles,Culturels et communautaires,Centre culturel,,"Air climatisé,Dépôt de piles ou cellulaires,Fontaine d'eau potable,Table à langer,Toilettes,Wi-Fi gratuit",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:12:00, fermeture:17:00,Mardi, ouverture:10:00, fermeture:20:00,Mercredi, ouverture:12:00, fermeture:20:00,Jeudi, ouverture:12:00, fermeture:18:00,Vendredi, ouverture:12:00, fermeture:18:00,Samedi, ouverture:10:00, fermeture:17:00,Dimanche, ouverture:12:00, fermeture:17:00]",,,,numéro: 5148722240,,Maison de la culture de Pointe-aux-Trembles,"14001, rue Notre-Dame Est",,H1A1T9,Montréal,-73.494899,45.667876,305197.5,5058665.1
12,Maison de la culture Notre-Dame-de-Grâce – Botrel,https://montreal.ca/lieux/maison-de-la-culture-notre-dame-de-grace-botrel,"Inaugurée en octobre 1984, elle fut la cinquième maison mise en service parmi les 13 maisons de la culture qui composent aujourd’hui le réseau de diffusion culturelle professionnelle de la Ville de Montréal, Accès culture. L’année 2001 marque son adhésion à la Société des musées québécois à la suite de son attribution du statut d’Institution muséale reconnue par le ministère de la Culture et des Communications. En plus d’être un lieu de diffusion des arts de la scène et des arts visuels, la Maison de la culture Notre-Dame-de-Grâce s’ancre dans la communauté en proposant des activités de médiation culturelle pour les petit.e.s et les grand.e.s et en recevant des artistes d’ici et d’ailleurs en résidence de création. Près de 80 spectacles et une vingtaine d’expositions y sont présentés chaque année.On retrouve également au sein du même édifice la bibliothèque Notre-Dame-de-Grâce, ce qui en fait un lieu de culture des plus rassembleurs.Depuis 2016, la Maison de la culture Notre-Dame-de-Grâce rayonne au sein d’un deuxième foyer; le Centre Culturel Notre-Dame-Grâce, situé sur l’avenue de Monkland.",2019-08-26,2023-12-13,Côte-des-Neiges–Notre-Dame-de-Grâce,Culturels et communautaires,Centre culturel,,"Air climatisé,Fontaine d'eau potable,Support à vélo,Toilettes,Wi-Fi gratuit","Adapté aux poussettes,Ascenseur,Rampe d'accès",Culture et sports,Ouvert," Horaire [Mardi, ouverture:13:00, fermeture:19:00,Mercredi, ouverture:13:00, fermeture:19:00,Jeudi, ouverture:13:00, fermeture:18:00,Vendredi, ouverture:13:00, fermeture:18:00,Samedi, ouverture:13:00, fermeture:17:00]",Fermé les jours fériés suivants : 4 sept. | 9 oct.| Du 24 déc. au 26 déc.| Du 31 déc. au 2 janv. | 29 mars | 1 avril | 20 mai | 24 juin | 1er juill.,,,numéro: 5148722157,,Maison de la culture Notre-Dame-de-Grâce – Botrel,"3755, rue Botrel",,H4A3G8,Montréal,-73.61437,45.475571,295858.1,5037300.2
13,Maison de la culture de Côte-des-Neiges,https://montreal.ca/lieux/maison-de-la-culture-de-cote-des-neiges,"Près de 80 spectacles et une vingtaine d’expositions y sont présentés chaque année.Recevez nos actualités culturelles par courrielLa culture vous passionne ? Depuis 2022, les maisons de la culture et les bibliothèques de Côte-des-Neiges et de Notre-Dame-de-Grâce proposeront deux nouvelles infolettres (une par secteur). Abonnez-vous dès maintenant, à l’une, à l’autre, ou aux deux :S’inscrire à l’infolettre du secteur Côte-des-NeigesS’abonner à notre infolettre du secteur Notre-Dame-de-Grâce",2019-08-26,2023-10-06,Côte-des-Neiges–Notre-Dame-de-Grâce,Culturels et communautaires,Centre culturel,,"Air climatisé,Dépôt de piles ou cellulaires,Fontaine d'eau potable,Toilettes,Wi-Fi gratuit","Accessible en fauteuil roulant avec assistance,Adapté aux poussettes,Ascenseur,Rampe d'accès,Toilettes accessibles",Culture et sports,Ouvert," Horaire [Mardi, ouverture:13:00, fermeture:19:00,Mercredi, ouverture:13:00, fermeture:19:00,Jeudi, ouverture:13:00, fermeture:18:00,Vendredi, ouverture:13:00, fermeture:18:00,Samedi, ouverture:13:00, fermeture:17:00,Dimanche, ouverture:13:00, fermeture:17:00]",Fermé les jours fériés suivants : 4 sept. | 9 oct.| Du 24 déc. au 26 déc.| Du 31 déc. au 2 janv. | 29 mars | 1 avril | 20 mai | 24 juin | 1er juill.,,,numéro: 5148726889,maison_cn@montreal.ca,Maison de la culture de Côte-des-Neiges,"5290, chemin de la Côte-des-Neiges",,H3T1Y2,Montréal,-73.622245,45.4959,295245.8,5039560.3
14,Maison de la culture Claude-Léveillée,https://montreal.ca/lieux/maison-de-la-culture-claude-leveillee,"Politique de billetterieDes laissez-passer sont requis et disponibles 14 jours avant la date de l’événement. Ils sont disponibles gratuitement sur montreal.ca/vsp dans la section Événements. Ils sont valides jusqu’à dix minutes avant l’heure de l’événement.Comme le nombre de laissez-passer est limité, merci de vous en procurer une quantité correspondant réellement à vos besoins afin de ne pas pénaliser les autres usagers. Par respect pour les artistes et le public, nous vous demandons de respecter l’heure de début des spectacles et d’observer les limites d’âge indiquées en ce qui concerne les spectacles pour enfants. La billetterie en ligne ferme une heure avant le début de la représentation.Lorsque la billetterie est fermée ou que le spectacle affiche complet, il est possible de se présenter sur place; les places seront attribuées selon l’ordre d’arrivée, sous réserve du nombre de sièges disponibles. Dépendamment de la nature du spectacle, il est possible que les retardataires ne soient pas admis.Où se procurer des laissez-passer?1. En ligne sur le site montreal.ca/vsp2. Au bureau d’accueil de la maison de la culture Claude-Léveillée.3. Par téléphone, pour les gens n’ayant pas accès à un ordinateur.La médiation culturelleLes deux installations organisent régulièrement des incursions dans l’univers des artistes en proposant des rencontres intimes et structurées aux organismes, écoles et divers groupes de l’arrondissement. Les accompagnements culturels peuvent prendre diverses formes, selon les projets, et rejoignent près de 3000 citoyennes et citoyens par année.Les résidences d’artistesAfin de soutenir les artistes professionnels de l’arrondissement, nos installations offrent un certain nombre de résidences de création par année. Cela leur permet de peaufiner leurs oeuvres dans un environnement créatif et parfois de recevoir des groupes afin de tester leur matériel.Engagement écoresponsableDepuis décembre 2022, la maison de la culture Claude-Léveillée et la salle de diffusion de Parc-Extension détiennent fièrement l’accréditation des Scènes écoresponsables niveau or, ce qui témoigne de leur engagement à réduire leur impact sur l’environnement et à privilégier des pratiques durables.",2019-08-26,2024-01-15,Villeray–Saint-Michel–Parc-Extension,Culturels et communautaires,Centre culturel,,"Air climatisé,Fontaine d'eau potable,Salle d'allaitement,Table à langer,Toilettes,Vestiaire,Vestiaire familial,Wi-Fi gratuit",,Culture et sports,Ouvert," Heures d'ouverture [Mercredi, ouverture:12:00, fermeture:19:00,Jeudi, ouverture:12:00, fermeture:19:00,Vendredi, ouverture:12:00, fermeture:19:00,Samedi, ouverture:13:00, fermeture:17:00,Dimanche, ouverture:13:00, fermeture:17:00]",,,,numéro: 5148726131,,Maison de la culture Claude-Léveillée,"911, rue Jean-Talon Est",,H2R1V5,Montréal,-73.613258,45.541562,295955.4,5044633.7
15,Maison de la culture Ahuntsic,https://montreal.ca/lieux/maison-de-la-culture-ahuntsic,"Programmation de la Maison de la cultureCliquez ici pour découvrir la programmation hiver-printemps.Une scène écoresponsableDepuis le printemps 2022, la Maison de la culture est accréditée Scène écoresponsable, niveau Argent. Cette accréditation fait de cet espace de diffusion culturel un lieu résolument engagé vers l’écoresponsabilité. La Maison de la culture consolide ses bonnes pratiques en matière de développement durable dans une perspective d’accessibilité, de diversité, d’équité et de qualité, et ce, dans le but de diminuer son impact environnemental.En savoir plus.Lieux de diffusion hors les mursEn plus de la salle de spectacle située dans l’édifice Albert-Dumouchel, au 10300, rue Lajeunesse, la Maison de la culture présente également des événements :à l’église de la Visitation (du Sault-au-Récollet, la plus ancienne église de l’île de Montréal), située au 1847, boulevard Gouin Est;à la salle Marguerite-Bourgeoys du collège Régina-Assumpta, située au 1750, rue Sauriol Est;et dans certains parcs situés sur le territoire d’Ahuntsic-Cartierville.L’équipe est en poste pour répondre à vos questions, par courriel ou par téléphone au 514 872-8749.",2019-08-26,2024-01-04,Ahuntsic-Cartierville,Culturels et communautaires,Centre culturel,,"Air climatisé,Fontaine d'eau potable,Stationnement gratuit,Toilettes,Vestiaire,Wi-Fi gratuit","Ascenseur,Rampe d'accès",Culture et sports,Ouvert," Horaire [Mardi, ouverture:13:00, fermeture:20:00,Mercredi, ouverture:13:00, fermeture:17:00,Jeudi, ouverture:13:00, fermeture:17:00,Vendredi, ouverture:13:00, fermeture:17:00,Samedi, ouverture:11:00, fermeture:17:00,Dimanche, ouverture:11:00, fermeture:17:00]",La Maison de la culture est ouverte sans interruption les jours de spectacles.,,,numéro: 5148728749,mcahuntsic@gmail.com,Maison de la culture Ahuntsic,"10300, rue Lajeunesse",1er étage,H3L2E5,Montréal,-73.662956,45.553373,292077.0,5045953.0
16,Galerie Port-Maurice,https://montreal.ca/lieux/galerie-port-maurice,"Située à Saint-Léonard, la galerie Port-Maurice présente des expositions d’artistes de différents courants contemporains.",2019-08-26,2023-08-08,Saint-Léonard,Culturels et communautaires,Centre culturel,,"Air climatisé,Fontaine d'eau potable,Stationnement gratuit,Support à vélo,Toilettes,Wi-Fi gratuit","Entrée de plain-pied,Stationnement accessible",Culture et sports,Ouvert," Horaire [Lundi, ouverture:13:00, fermeture:20:00,Mardi, ouverture:10:00, fermeture:20:00,Mercredi, ouverture:10:00, fermeture:20:00,Jeudi, ouverture:10:00, fermeture:18:00,Vendredi, ouverture:10:00, fermeture:18:00,Samedi, ouverture:10:00, fermeture:17:00,Dimanche, ouverture:12:00, fermeture:17:00]",,,,numéro: 5143288500,,Galerie Port-Maurice,"8420, boulevard Lacordaire",,H1R3G5,Montréal,-73.598376,45.58577,297123.6,5049545.1
17,Centre d'exposition Lethbridge,https://montreal.ca/lieux/centre-dexposition-lethbridge,Pour information : culturesaintlaurent@montreal.ca,2019-08-26,2022-12-19,Saint-Laurent,Culturels et communautaires,Centre culturel,,,,Culture et sports,Fermeture temporaire," Horaire [Mercredi, ouverture:13:00, fermeture:20:00,Jeudi, ouverture:13:00, fermeture:20:00,Vendredi, ouverture:13:00, fermeture:20:00,Samedi, ouverture:10:00, fermeture:16:00,Dimanche, ouverture:10:00, fermeture:16:00]",,,,numéro: 5148556130 extension: 4443,,Centre d'exposition Lethbridge,"2727, boulevard Thimens",,H4R1T4,Montréal,-73.704747,45.504489,288800.2,5040527.9
18,Salle d’exposition Goncourt,https://montreal.ca/lieux/salle-dexposition-goncourt,"Elle constitue un lieu de passage pour les expositions professionnelles ou d’artistes amateurs, les vernissages et autres installations de petite taille.  Son amphithéâtre central peut accueillir 80 personnes assisses. Propice à la socialisation, on y tient quotidiennement diverses animations, conférences et projections allant des rencontres d’auteurs, ateliers, activités et spectacles pour jeunes et adultes. La salle d’exposition Goncourt peut être louée par les organismes et citoyens d’Anjou. Il est cependant à préciser qu’elle ne constitue pas une salle professionnelle. L’accès se fait par l’accueil de la bibliothèque Jean-Corbeil. L’entrée aux expositions est libre, selon les heures d’ouverture de la bibliothèque.",2022-04-01,2024-01-23,Anjou,,Centre culturel,,"Air climatisé,Stationnement gratuit,Toilettes",,Culture et sports,Ouvert," Horaire régulier [Lundi, ouverture:12:00, fermeture:20:00,Mardi, ouverture:12:00, fermeture:20:00,Mercredi, ouverture:12:00, fermeture:20:00,Jeudi, ouverture:12:00, fermeture:20:00,Vendredi, ouverture:10:00, fermeture:18:00,Samedi, ouverture:10:00, fermeture:17:00,Dimanche, ouverture:10:00, fermeture:17:00]",,,,numéro: 5144938260,,Salle d’exposition Goncourt,"7500, avenue Goncourt",,H1K3X9,Montréal,-73.558411,45.602902,300243.5,5051446.0
19,Centre culturel de Notre-Dame-de-Grâce,https://montreal.ca/lieux/centre-culturel-de-notre-dame-de-grace,"Depuis 2016, la Maison de la culture Notre-Dame-de-Grâce rayonne au sein d’un deuxième foyer; le Centre Culturel Notre-Dame-Grâce, situé sur l’avenue de Monkland.L’antenne Monkland de la Maison de la culture Notre-Dame-de-Grâce est composée d’une salle d’exposition, la Galerie Monkland, d’une terrasse intérieure et d’une cour extérieure, idéale pour des événements culturels en plein air. La salle de spectacle Iro-Valaskakis-Tembeck, nommée ainsi en hommage à l’œuvre de cette illustre professionnelle de la danse qui habitait le quartier, peut accueillir jusqu’à 200 personnes. Conçue tout particulièrement pour les prestations de danse, elle se prête à une programmation multidisciplinaire et diversifiée qui sait plaire à un large public. Depuis son inauguration en 2016, le Centre culturel de Notre-Dame-de-Grâce marque les esprits avec une architecture moderne et l’omniprésence des couleurs vives. On peut également y admirer l’œuvre d’art public Chromazone de l’artiste Hal Ingberg, habilement intégrée au bâtiment.La salle de spectacle Iro-Valaskakis-Tembeck, d’une capacité de 200 places, offre une programmation multidisciplinaire.",2020-01-15,2023-11-07,Côte-des-Neiges–Notre-Dame-de-Grâce,Culturels et communautaires,Centre culturel,,"Air climatisé,Produits menstruels gratuits,Dépôt de piles ou cellulaires,Fontaine d'eau potable,Machine distributrice,Stationnement gratuit,Toilettes,Wi-Fi gratuit","Adapté aux poussettes,Ascenseur,Entrée de plain-pied,Signalisation accessible,Stationnement accessible",Culture et sports,Ouvert," Horaire du centre culturel [Lundi, ouverture:10:00, fermeture:18:00,Mardi, ouverture:12:00, fermeture:19:30,Mercredi, ouverture:12:00, fermeture:19:30,Jeudi, ouverture:10:00, fermeture:18:00,Vendredi, ouverture:10:00, fermeture:18:00,Samedi, ouverture:10:00, fermeture:17:00,Dimanche, ouverture:10:00, fermeture:17:00]",Fermé les jours fériés suivants : 4 sept. | 9 oct.| Du 24 déc. au 26 déc.| Du 31 déc. au 2 janv. | 29 mars | 1 avril | 20 mai | 24 juin | 1er juill.,,"Argent comptant,Carte de crédit (MasterCard, Visa)",numéro: 5148720777,,Centre culturel de Notre-Dame-de-Grâce,"6400, avenue de Monkland",,H4B1H3,Montréal,-73.6309910554,45.466322991253,294556.9,5036274.5
20,Ancienne guérite du Jardin des merveilles,https://montreal.ca/lieux/ancienne-guerite-du-jardin-des-merveilles,"Le théâtre est situé derrière le chalet-restaurant, près du petit pont. Les spectacles sont présentés dans le cadre du programme de soutien aux actions culturelles.",2023-03-31,2023-09-12,Le Plateau-Mont-Royal,Culturels et communautaires,Centre culturel,,,,Culture et sports,Ouvert, ,,,,,,Ancienne guérite du Jardin des merveilles,"3819, avenue Calixa-Lavallée",,H2L3A7,Montréal,-73.57004446642244,45.52637481851349,299328.6,5042942.1
21,Maison de la culture Notre-Dame-de-Grâce – Monkland,https://montreal.ca/lieux/maison-de-la-culture-notre-dame-de-grace-monkland,"Depuis 2016, en s’établissant au sein du Centre culturel de Notre-Dame-de-Grâce, la Maison de la culture Notre-Dame-de-Grâce bénéficie d’un deuxième lieu de diffusion, en plus de sa première antenne, située sur la rue Botrel.Située sur l’avenue Monkland, cette deuxième antenne offre une salle d’exposition, la Galerie Monkland, une terrasse intérieure et une cour extérieure, ainsi qu’une salle de spectacle, pouvant accueillir jusqu’à 200 personnes. La salle de spectacle Iro-Valaskakis-Tembeck, nommée ainsi en hommage à l’œuvre de cette illustre professionnelle de la danse qui habitait le quartier, est conçue tout particulièrement pour les prestations de danse, mais se prête également à une programmation multidisciplinaire, diversifiée, qui sait plaire à un large public.",2020-10-05,2023-11-07,Côte-des-Neiges–Notre-Dame-de-Grâce,Culturels et communautaires,Centre culturel,,"Air climatisé,Fontaine d'eau potable,Machine distributrice,Stationnement gratuit,Toilettes,Wi-Fi gratuit","Adapté aux poussettes,Ascenseur,Entrée de plain-pied,Signalisation accessible,Stationnement accessible",Culture et sports,Ouvert," Horaire des fêtes [Mardi, ouverture:12:00, fermeture:17:00,Mercredi, ouverture:12:00, fermeture:17:00,Jeudi, ouverture:10:00, fermeture:17:00,Vendredi, ouverture:10:00, fermeture:17:00]","Fermé les jours fériés suivants : 4 sept. | 9 oct.| Du 24 déc. au 26 déc.| Du 31 déc. au 2 janv. | 29 mars | 1 avril | 20 mai | 24 juin | 1er juill.,Du 19 au 25 décembre 2022,Du 26 décembre 2022 au 1er janvier 2023",,"Argent comptant,Carte de crédit (MasterCard, Visa)",numéro: 5148720777,,Maison de la culture Notre-Dame-de-Grâce – Monkland,"6400, avenue de Monkland",,H4B1H3,Montréal,-73.630945,45.466598,294560.6,5036305.0
22,Centre culturel de Pierrefonds,https://montreal.ca/lieux/centre-culturel-de-pierrefonds,"Programmation culturelle de l’hiver-printemps 2024Découvrez les spectacles de musique, les pièces de théâtre et les autres activités présentées en consultant la Programmation culturelle ici.Soirées cabaretClassiques du dimancheSorties en familleDouceurs d’après-midiConsulter la version imprimable en format PDF iciRéservez vos billets de spectaclesDes billets sont requis pour assister à tous les spectacles, qu’ils soient payants ou gratuits. Choisissez l’une des trois options suivantes :En ligne sur notre billetterie *Des frais de service s’appliquent.En personne, en prenant rendez-vous avec un membre de notre équipe au 514 702-1812En personne, à la salle de spectacle, à partir d’une heure avant l’événement. Nous vous conseillons de téléphoner au préalable pour vérifier la disponibilité des billets.",2019-08-22,2024-01-18,Pierrefonds-Roxboro,Culturels et communautaires,Centre culturel,,"Air climatisé,Aire de pique-nique,Fontaine d'eau potable,Stationnement gratuit,Support à vélo,Table à langer,Toilettes,Wi-Fi gratuit","Sentier d'accès,Stationnement accessible,Zone de débarcadère","Culture et sports,Organisation municipale,Communauté",Ouvert, ,,,,,,Centre culturel de Pierrefonds,"13850, boulevard Gouin Ouest",,H8Z1X7,Montréal,-73.84891,45.496618,277531.0,5039692.0
23,Quai 5160 – Maison de la culture de Verdun,https://montreal.ca/lieux/quai-5160-maison-de-la-culture-de-verdun,"Diffuseur pluridisciplinaire d’œuvres artistiques professionnelles, le Quai 5160 - Maison de la culture de Verdun complète les actions de son mandat en mettant sur pied des projets de médiation, d’implication citoyenne, de soutien à la création et divers partenariats avec des acteurs du culturel du territoire.Tant active en salle que sur l’espace public, dans un déploiement hors les murs de ses diverses actions, la Maison de la culture de Verdun est au cœur du développement culturel du quartier.Programmation Plein les yeux,  plein le cœurNous avons le plaisir de vous présenter la brochure de la saison hiver-printemps 2024. Sous le signe du bonheur des yeux et du cœur, cette nouvelle programmation promet des coups de cœur et des découvertes pour vous réchauffer pendant la saison froide.Plein de loisirs culturels au Quai 5160Cours de danse en ligne pour adultes - niveau débutantLes mardis de 14 h à 15 h 30Du 16 janvier au 2 avril 2024Cours de danse latines pour adultes - niveau débutantLes jeudis de 14 h à 15 h 30Du 18 janvier au 4 avril 2024Cours d’Aquarelle pour les 15 ans et plus Important : vous devez apporter votre propre matériel d’aquarelle ( tubes ou palettes ), pinceaux et papier d’art. Les samedis de 10 h 30 à 12 hDu 20 janvier au 6 avril 2024Loisirs culturels - Bon à savoir10 $ par séance individuelle. Inscriptions en ligne sur la plate-forme Loisirs.MontréalPrix et distinctions du Quai 5160 Maison de la culture de Verdun - Le saviez-vous?Lauréat aux Grands prix santé et sécurité du travail (GPSST) 2018 dans la catégorie InnovationLauréat prix Aménagement 2018 Concours Les arts et la villePrix d’excellence en architecture 2019 de l’Ordre des architectes (firme FABG)Art PublicArchéologies de Yann Pocreau, 2017Chorégraphies Cartographiques de Josée Bubeau, 2017Scène écoresponsableLe Quai 5160 - Maison de la culture de Verdun est détenteur depuis l’automne 2023 de l’accréditation Scène écoresponsable niveau OR du Conseil québécois des événements écoresponsables - CQEER- Les Vivats.L’équipe du Quai 5160 désire ainsi marquer son engagement face aux enjeux de développement durable et d’écoresponsabilité dans tous ses gestes du quotidien :achats locaux et biologiquesaucun ustensiles à usage uniquegestion saine des matières résiduellesengagement social envers la communautéet plus encoreAccessibilités - Informations supplémentairesNous acceptons la Carte Accompagnement Loisir (CAL) pour les personnes à mobilité réduite.Nous sommes équipés d’un système à l’aide à l’audition (infrarouge) pour malentendants.",2019-08-22,2024-01-25,Verdun,Culturels et communautaires,Centre culturel,,"Air climatisé,Aire de pique-nique,Dépôt de piles ou cellulaires,Fontaine d'eau potable,Salle d'allaitement,Stationnement gratuit,Support à vélo,Table à langer,Toilettes,Wi-Fi gratuit","Accessible en fauteuil roulant,Accessible en fauteuil roulant avec assistance,Adapté aux poussettes,Ascenseur,Entrée de plain-pied,Porte à ouverture automatique,Rampe d'accès,Signalisation accessible,Stationnement accessible,Toilettes accessibles","Culture et sports,Organisation municipale",Ouvert," Horaire [Mardi, ouverture:13:00, fermeture:17:00Mardi, ouverture:17:30, fermeture:20:00,Mercredi, ouverture:13:00, fermeture:17:00Mercredi, ouverture:17:30, fermeture:20:00,Jeudi, ouverture:13:00, fermeture:17:00Jeudi, ouverture:17:30, fermeture:20:00,Vendredi, ouverture:13:00, fermeture:17:00Vendredi, ouverture:17:30, fermeture:20:00,Samedi, ouverture:10:00, fermeture:12:00Samedi, ouverture:12:30, fermeture:17:00,Dimanche, ouverture:10:00, fermeture:12:00Dimanche, ouverture:12:30, fermeture:17:00]",,,"Argent comptant,Carte de crédit (MasterCard, Visa),Carte de débit,Chèque à l'ordre de la Ville de Montréal",numéro: 5148724995,quai5160@montreal.ca,Quai 5160 – Maison de la culture de Verdun,"5160, boulevard LaSalle",,H4H1N8,Montréal,-73.563987662722,45.453875751695,299795.3,5034884.9
24,Édifice Emmanuel-Arthur-Doucet,https://montreal.ca/lieux/edifice-emmanuel-arthur-doucet,"La vocation circassienne du lieu, réfléchie en concertation avec les milieux communautaire et culturel au sein de l’arrondissement, se déploie selon trois axes.Offrir à la communauté circassienne de MHM un laboratoire de création et de perfectionnement pour développer et faire rayonner la discipline sur tout le territoire montréalais.Développer des projets en cirque socialpour favoriser le développement et l’inclusion sociale des enfants, des jeunes et des adultes marginalisés de l’arrondissement.Rejoindre également la population de son territoire par une programmation de loisirs culturels circassiens.",2023-07-18,2023-09-22,Mercier–Hochelaga-Maisonneuve,Culturels et communautaires,Centre culturel,,"Air climatisé,Borne de recharge voiture,Douches,Fontaine d'eau potable,Support à vélo,Table à langer,Toilettes,Vestiaire,Vestiaire universel,Wi-Fi gratuit","Adapté aux poussettes,Ascenseur,Entrée de plain-pied,Rampe d'accès,Toilettes accessibles",Organisation municipale,Ouvert," Horaire [Lundi, ouverture:09:00, fermeture:17:00,Mardi, ouverture:09:00, fermeture:17:00,Mercredi, ouverture:09:00, fermeture:17:00,Jeudi, ouverture:09:00, fermeture:17:00,Vendredi, ouverture:09:00, fermeture:17:00]",,,"Carte de crédit (MasterCard, Visa),Carte de débit",numéro: 5145236363,,Édifice Emmanuel-Arthur-Doucet,"3622, rue Hochelaga",,H1W1J1,Montréal,-73.550821,45.547286,300831.7,5045264.9
25,Maison de la culture Janine-Sutto,https://montreal.ca/lieux/maison-de-la-culture-janine-sutto,"Programmation culturelleCinéma, prestations de danse, concerts, théâtre… découvrez la programmation culturelle hiver-printemps 2024. BilletterieTous les événements sont gratuits, sauf indication contraire.Billets disponibles sur place ou en ligne (frais de 2$). Aucune réservation par téléphone.Billets disponibles 2 semaines avant la date de l’activité pour le grand public. Maximum de 2 billets par personne ou de 4 pour les spectacles jeune public.Les retardataires ne sont pas admis. L’entrée est libre pour visiter les expositions.Représentations décontractéesLes représentations décontractées (de l’anglais relaxed performance) sont ouvertes à toutes et à tous, particulièrement aux personnes qui vivent avec un handicap sensoriel ou intellectuel, un trouble neurologique ou d’apprentissage, et aux personnes accompagnées de nouveaux-nés. L’ambiance sonore et visuelle du spectacle ainsi que l’accueil sont adaptés pour créer un environnement calme et inclusif.Scène écoresponsableGuidée par la volonté de participer activement à la transition écologique, la maison de la culture Janine-Sutto a déposé sa candidature et obtenu l’accréditation Scène écoresponsable de niveau or au mois de juin 2023. Elle s’est ainsi engagée à réduire l’impact environnemental des spectacles, favoriser la consommation responsable, stimuler les retombées et soutenir le partage des connaissances. Pour atteindre ces objectifs, l’équipe de la maison de la culture s’est dotée d’un plan d’action ambitieux qui aborde de nombreuses thématiques, mais qui permet surtout de sensibiliser et de mobiliser le milieu tout en ayant un impact positif sur la communauté.Plans et devis techniquesContactez Fabien Deschênes, responsable technique fabien.deschenes@montreal.caVisites et ateliersLa maison de la culture Janine-Sutto offre gratuitement des visites animées de ses expositions et des ateliers de création. Que vous veniez pour la première fois ou que vous en ayez fait une habitude, trouvez l’activité qui vous correspond. La programmation varie selon l’âge et les expositions en cours. Les groupes scolaires (du préscolaire au cégep), les garderies, les groupes communautaires, les camps de jour ou tout autre groupe organisé sont les bienvenus. Réservation obligatoire.AccessibilitéLa rampe d’accès est accessible du côté de la rue du Havre, derrière l’édicule de la station de métro Frontenac.",2019-08-22,2024-01-03,Ville-Marie,Culturels et communautaires,Centre culturel,,"Air climatisé,Produits menstruels gratuits,Fontaine d'eau potable,Support à vélo,Table à langer,Toilettes,Wi-Fi gratuit","Accessible en fauteuil roulant,Adapté aux poussettes,Entrée de plain-pied,Équipement adapté,Porte à ouverture automatique,Rampe d'accès,Toilettes accessibles,Zone de débarcadère",Culture et sports,Ouvert," Heures d'ouverture [Mardi, ouverture:13:00, fermeture:19:30,Mercredi, ouverture:13:00, fermeture:19:30,Jeudi, ouverture:13:00, fermeture:18:00,Vendredi, ouverture:13:00, fermeture:18:00,Samedi, ouverture:10:00, fermeture:17:00,Dimanche, ouverture:13:00, fermeture:17:00]",,,,numéro: 5148727882,mcjsutto@montreal.ca,Maison de la culture Janine-Sutto,"2550, rue Ontario Est",,H2K1W7,Montréal,-73.551399,45.532827,300785.5,5043658.0
